"ticker","interval","date","open","high","low","close","volume"
"AABA","D","2019-07-01","70.9","71.52","70.325","70.57","10234800"
"AAL","D","2019-07-01","33.14","33.6632","32.5301","32.88","8995100"
"AAME","D","2019-07-01","2.43","2.43","2.4","2.4","500"
"AAOI","D","2019-07-01","10.7","10.89","10.01","10.18","883100"
"AAON","D","2019-07-01","50.57","50.985","48.56","49.73","180200"
"AAPL","D","2019-07-01","203.17","204.49","200.65","201.55","27316700"
"AAWW","D","2019-07-01","45.27","45.985","43.81","44.03","348900"
"AAXJ","D","2019-07-01","71.05","71.225","70.48","70.74","830100"
"AAXN","D","2019-07-01","65.22","65.9","63.4","64.55","1315300"
"ABCB","D","2019-07-01","39.1","40.03","37.95","39.8","2589400"
"ABDC","D","2019-07-01","8.39","8.5299","8.25","8.25","20400"
"ABEO","D","2019-07-01","4.9","4.93","4.71","4.77","903700"
"ABEOW","D","2019-07-01","1","1","0.97","0.97","5500"

